name,id
Outros,1
Ipatinga,1349
Ipatinga - MG,1349
Cuiabá,1371
Cuiaba,1371
Cuiabá - MT,1371
Cuiaba - MT,1371
Icasa,1390
Icasa - CE,1390
Oeste,2190
Oeste - SP,2190
Duque de Caxias,2193
Duque de Caxias - RJ,2193
Americana,2197
Americana - SP,2197
Grêmio Prudente,2554
Gremio Prudente,2554
Grêmio Prudente - SP,2554
Gremio Prudente - SP,2554
Luverdense,2565
Luverdense - MT,2565
Flamengo,262
Flamengo - RJ,262
Flamengo RJ,262
Botafogo,263
Botafogo - RJ,263
Botafogo-RJ,263
Botafogo RJ,263
Corinthians,264
Corinthians - SP,264
Bahia,265
Bahia - BA,265
Bahía,265
Fluminense,266
Fluminense - RJ,266
Vasco,267
Vasco da Gama,267
Vasco - RJ,267
Vasco da Gama - RJ,267
Palmeiras,275
Palmeiras - SP,275
São Paulo,276
Sao Paulo,276
São Paulo - SP,276
Sao Paulo - SP,276
Santos,277
Santos - SP,277
Portuguesa,278
Portuguesa - SP,278
Guarani,279
Guarani - SP,279
Bragantino,280
Bragantino-SP,280
Bragantino - SP,280
Atlético-MG,282
Atletico-MG,282
Atlético Mineiro,282
Atletico Mineiro,282
Atlético - MG,282
Atletico - MG,282
Cruzeiro,283
Cruzeiro - MG,283
Grêmio,284
Gremio,284
Grêmio - RS,284
Gremio - RS,284
Internacional,285
Internacional - RS,285
Juventude,286
Juventude - RS,286
Vitória,287
Vitoria,287
Vitória - BA,287
Vitoria - BA,287
Vítoria,287
Criciúma,288
Criciuma,288
Criciúma - SC,288
Criciuma - SC,288
Paraná,289
Parana,289
Paraná - PR,289
Parana - PR,289
Goiás,290
Goias,290
Goiás - GO,290
Goias - GO,290
Paysandu,291
Paysandu - PA,291
Sport,292
Sport Recife,292
Sport - PE,292
Sport Recife - PE,292
Athlético-PR,293
Athletico-PR,293
Atlético-PR,293
Atletico-PR,293
Atlético Paranaense,293
Atletico Paranaense,293
Athlético - PR,293
Athletico - PR,293
Atlético - PR,293
Atletico - PR,293
Coritiba,294
Coritiba - PR,294
Botafogo-SP,296
Botafogo - SP,296
Ponte Preta,303
Ponte Preta - SP,303
Boa Esporte,3057
Boa Esporte - MG,3057
Santo André,306
Santo Andre,306
Santo André - SP,306
Santo Andre - SP,306
São Bento,307
Sao Bento,307
São Bento - SP,307
Sao Bento - SP,307
Brasil de Pelotas,309
Brasil de Pelotas - RS,309
Avaí,314
Avai,314
Avaí - SC,314
Avai - SC,314
Chapecoense,315
Chapecoense - SC,315
Chapecoense-SC,315
Chapecoense AF,315
Figueirense,316
Figueirense - SC,316
Joinville,317
Joinville - SC,317
Londrina,319
Londrina - PR,319
Operário-PR,321
Operario-PR,321
Operário - PR,321
Operario - PR,321
América-MG,327
America-MG,327
América Mineiro,327
America Mineiro,327
América - MG,327
America - MG,327
America MG,327
Confiança,337
Confianca,337
Confiança - SE,337
Confianca - SE,337
CRB,340
CRB - AL,340
CSA,341
CSA - AL,341
ASA Arapiraca,342
ASA Arapiraca - AL,342
Náutico,343
Nautico,343
Náutico - PE,343
Nautico - PE,343
Santa Cruz,344
Santa Cruz - PE,344
Treze,346
Treze - PB,346
Botafogo-PB,347
Botafogo - PB,347
Campinense,349
Campinense - PB,349
ABC,350
ABC - RN,350
América-RN,351
America-RN,351
América - RN,351
America - RN,351
Ceará,354
Ceara,354
Ceará - CE,354
Ceara - CE,354
Fortaleza,356
Fortaleza - CE,356
Moto Club,362
Moto Club - MA,362
Sampaio Corrêa,363
Sampaio Corrêa - MA,363
Remo,364
Remo - PA,364
Atlético-GO,373
Atletico-GO,373
Atlético Goianiense,373
Atletico Goianiense,373
Atlético - GO,373
Atletico - GO,373
Atletico GO,373
Vila Nova,375
Vila Nova - GO,375
São Caetano,386
Sao Caetano,386
São Caetano - SP,386
Sao Caetano - SP,386
Brasiliense,388
Brasiliense - DF,388
